Planting date,Software,Location,Date,DOY,Altitude (m),Stage-Full,Stage,Plot_ID,Replicate,Zone,Zone_Identification,Cover_Crop_Variety,Treatment_2__Cut_Fill_Range,One_Mix_None_Cover_Crop,Thermal,NDWI,EVI,NAVI,GNDVI,Cigreen,RENDVI,TGI,SAVI,CI_RedEdge,BI,SCI,GLI,NGRDI_Zonal,SI,VARI,HUE,BGI,PSRI,RVI,TVI,CVI,NDVI,DVI,Soy_yiled(bu/acre),Observed data,Days after planting,Canopy Height (cm),LAI
,Pix4d,Rice_Station,1/22/2021,22,120,,,101,1,5,"12"""" Cut",Triticale (TR),-0.9:-1.1,One (TR),-1.2504061,-0.1840356,0.1151731,0.1896278,0.1840356,0.454413,0.0483352,2.4911828,0.0552797,0.1020804,0.3116773,0.0804746,0.0149617,-0.0804746,0.2109835,-0.1239671,0.0015646,0.7657669,0.1326004,1.236684,2.9602733,1.7121599,0.1052162,0.0412391,66.73,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,102,1,5,"12"""" Cut",Cereal Rye+ Black Oat+ Triticale (CR+BO+TR),-0.9:-1.1,MIX (CR+BO+TR),-1.2893962,-0.1800772,0.1135556,0.1847593,0.1800772,0.4423277,0.0437344,2.5931344,0.0545638,0.0919,0.3201786,0.0794133,0.0156541,-0.0794133,0.2100486,-0.1224046,0.0016304,0.7655929,0.1305789,1.2290847,2.9042666,1.6940548,0.1022167,0.0382933,54.65,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,103,1,5,"12"""" Cut",Black Oat (BO),-0.9:-1.1,One (BO),-1.3875041,-0.1705467,0.101767,0.1658821,0.1705467,0.4133863,0.0374557,2.6435628,0.0492565,0.078167,0.3321701,0.0811601,0.0146634,-0.0811601,0.2118787,-0.124985,0.0017999,0.7653443,0.1347009,1.2003087,2.315448,1.6655475,0.0907099,0.0334616,56.88,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,104,1,5,"12"""" Cut",Cereal Rye+ Crimson Clover+ Kale (CR+CC+KA),-0.9:-1.1,MIX (CR+CC+KA),-1.1832256,-0.1922786,0.1199727,0.1993917,0.1922786,0.4793658,0.0447861,2.4292774,0.0580107,0.0941858,0.3045522,0.0828705,0.014361,-0.0828705,0.2153244,-0.127238,0.0015574,0.7624641,0.1337256,1.252164,3.1670625,1.7490842,0.11127,0.0381136,56.05,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,105,1,5,"12"""" Cut",NC,-0.9:-1.1,NO,-1.3069082,-0.1638427,0.0840999,0.1451831,0.1638427,0.3943766,0.0320933,2.440546,0.0410644,0.0666763,0.3180856,0.0864321,0.0121665,-0.0864321,0.2187183,-0.1324317,0.0017734,0.7624919,0.1446586,1.1715461,1.4228392,1.6608711,0.0786025,0.0268995,51.59,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,106,1,5,"12"""" Cut",Cereal Rye (CR),-0.9:-1.1,One (CR),-1.3506187,-0.1786743,0.1065065,0.1770647,0.1786743,0.4376676,0.036607,2.7010291,0.0522064,0.0763507,0.3210434,0.0826507,0.016246,-0.0826507,0.2193535,-0.1263487,0.0017424,0.7557138,0.1349232,1.2174156,2.5767834,1.6989268,0.0975384,0.0322808,51.70,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,201,2,5,"12"""" Cut",NC,-0.9:-1.1,NO,-1.4109219,-0.1582395,0.0795471,0.1385738,0.1582395,0.3784493,0.0279869,2.5316153,0.0388075,0.0579323,0.316166,0.0845667,0.0140222,-0.0845667,0.2186979,-0.1294188,0.0017133,0.7596824,0.1416406,1.1624264,1.265453,1.6360148,0.074752,0.0231993,51.13,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,202,2,5,"12"""" Cut",Cereal Rye+ Black Oat+ Triticale (CR+BO+TR),-0.9:-1.1,MIX (CR+BO+TR),-1.290682,-0.1729731,0.0979495,0.1689045,0.1729731,0.4212543,0.0354068,2.6396906,0.0476948,0.0738525,0.3048125,0.0816316,0.0175732,-0.0816316,0.2201525,-0.1245614,0.0015504,0.7529404,0.1343112,1.2059168,2.2130437,1.6764109,0.0927322,0.0293186,53.08,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,203,2,5,"12"""" Cut",Black Oat (BO),-0.9:-1.1,One (BO),-1.2748363,-0.168491,0.0947634,0.1602845,0.168491,0.4074053,0.0353031,2.5491738,0.0458447,0.0735154,0.3169475,0.0823148,0.0147869,-0.0823148,0.2150062,-0.1263865,0.0016792,0.7621177,0.1368446,1.192598,1.9857582,1.6623043,0.0874491,0.0298717,50.77,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,204,2,5,"12"""" Cut",Cereal Rye+ Crimson Clover+ Kale (CR+CC+KA),-0.9:-1.1,MIX (CR+CC+KA),-1.2192626,-0.1822209,0.1062851,0.1776483,0.1822209,0.4484048,0.0401503,2.5466735,0.0521784,0.0839701,0.3193138,0.0859268,0.0136544,-0.0859268,0.2211449,-0.1312342,0.0017904,0.7578611,0.1407351,1.2183613,2.4981794,1.723421,0.097905,0.0350646,53.48,,,,
